Query,Db_Name,Id_List,Citation_Cnts
GABA AND GABRA5[tiab],pubmed,30826071,25
GABA AND GABRA5[tiab],pubmed,8146195,25
GABA AND GABRA5[tiab],pubmed,16480884,32
GABA AND GABRA5[tiab],pubmed,7581464,35
GABA AND GABRA5[tiab],pubmed,9205108,7
GABA AND GABRA5[tiab],pubmed,7601451,14
GABA AND GABRA5[tiab],pubmed,19941877,15
GABA AND GABRA5[tiab],pubmed,24755890,12
GABA AND GABRA5[tiab],pubmed,8388764,16
GABA AND GABRA5[tiab],pubmed,8188218,10
GABA AND GABRA5[tiab],pubmed,8389098,10
GABA AND GABRA5[tiab],pubmed,21712993,21
GABA AND GABRA5[tiab],pubmed,24236484,6
GABA AND GABRA5[tiab],pubmed,18256262,186
GABA AND GABRA5[tiab],pubmed,32417196,4
GABA AND GABRA5[tiab],pubmed,23516534,14
GABA AND GABRA5[tiab],pubmed,12048673,0
GABA AND GABRA5[tiab],pubmed,11378843,7
GABA AND GABRA5[tiab],pubmed,26778988,2
GABA AND GABRA5[tiab],pubmed,9514592,8
GABA AND GABRA5[tiab],pubmed,15498372,2
GABA AND GABRA5[tiab],pubmed,32222968,6
GABA AND GABRA5[tiab],pubmed,14745296,51
GABA AND GABRA5[tiab],pubmed,16674551,28
GABA AND GABRA5[tiab],pubmed,15389768,56
GABA AND GABRA5[tiab],pubmed,12555233,37
GABA AND GABRA5[tiab],pubmed,27792253,12
GABA AND GABRA5[tiab],pubmed,27793660,11
GABA AND GABRA5[tiab],pubmed,32249079,0
GABA AND GABRA5[tiab],pubmed,12194792,0
GABA AND GABRA5[tiab],pubmed,8840392,2
GABA AND GABRA5[tiab],pubmed,20404047,9
GABA AND GABRA5[tiab],pubmed,20392949,77
GABA AND GABRA5[tiab],pubmed,11543639,47
GABA AND GABRA5[tiab],pubmed,10509183,18
GABA AND GABRA5[tiab],pubmed,12092907,56
